 "Daftar Anggota MPR RI Periode 2019-2024 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"NO ","NAMA ","NOMOR ANGGOTA ","NO.KEPRES ","TEMPAT LAHIR ","TANGGAL LAHIR ","JENIS KELAMIN ","AGAMA ","PENDIDIKAN TERAKHIR ","FRAKSI ","PROVINSI ","JABATAN ","STATUS ANGGOTA ","CREATED ","UPDATED "
"1","H. IRMAWAN, S.Sos., M.M. ","A-1 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","ACEH TENGGARA ","1967-12-21 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-06 14:41:39 "
"2","RUSLAN M. DAUD ","A-2 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SAMALANGA ","1970-05-11 ","Laki-Laki ","","SLTA ","Fraksi Partai Kebangkitan Bangsa ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:02:38 "
"3","MARWAN DASOPANG ","A-3 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PANGIRKIRAN ","1962-06-12 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-06 14:43:49 "
"4","ABDUL WAHID, S.Pd.I ","A-4 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BELARAS ","1980-11-21 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:03:05 "
"5","SOFYAN ALI, S.Ag., S.H., M.Pd. ","A-5 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAMBI ","1973-10-20 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAMBI ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:03:28 "
"6","H. BERTU MERLAS, S.T ","A-6 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BELITANG-OKU ","1975-10-02 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-06 14:53:01 "
"7","DR. H. MUHAMMAD KADAFI, S.H., M.H. ","A-7 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDA ACEH ","1983-10-08 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:03:58 "
"8","ELA SITI NURYAMAH,, S.SOS.I ","A-8 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TASIKMALAYA ","1983-01-03 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:04:23 "
"9","H. CUCUN AHMAD SYAMSURIJAL, S.Ag., M.AP. ","A-9 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1972-11-08 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:04:53 "
"10","NENG EEM MARHAMAH ZULFA HIZ, S.Th.I., M.M. ","A-10 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CIANJUR ","1979-05-08 ","Perempuan ","Islam ","Pasca Sarjana ","Fraksi Partai Kebangkitan Bangsa ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-04-12 07:50:21 "
"11","TOMMY KURNIAWAN ","A-11 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANGERANG ","1984-09-15 ","Laki-Laki ","","SLTA ","Fraksi Partai Kebangkitan Bangsa ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-17 15:18:59 "
"12","H. SYAIFUL HUDA ","A-12 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TUBAN ","1977-04-12 ","Laki-Laki ","","SLTA ","Fraksi Partai Kebangkitan Bangsa ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:05:40 "
"13","H. DEDI WAHIDI, S.Pd ","A-13 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","INDRAMAYU ","1957-08-15 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:40:35 "
"14","MAMAN IMANUL HAQ ","A-14 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUMEDANG ","1972-12-08 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:41:00 "
"15","H. YANUAR PRIHATIN, M.Si. ","A-15 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CIREBON ","1970-12-30 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:41:17 "
"16","DRS. H. ACEP ADANG RUHIAT, M.Si. ","A-16 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TASIKMALAYA ","1958-08-01 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Kebangkitan Bangsa ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"17","ALAMUDIN DIMYATI ROIS ","A-17 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KENDAL ","1980-12-26 ","L ","ISLAM ","SLTA ","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"18","Drs. FATHAN ","A-18 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","DEMAK ","1970-02-11 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:06:24 "
"19","MARWAN JAFAR ","A-19 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PATI ","1971-03-12 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:06:52 "
"20","LULUK NUR HAMIDAH, M.Si ","A-20 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JOMBANG ","1971-06-25 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:07:14 "
"21","Drs. H. MOHAMAD TOHA, M.Si. ","A-21 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SUKOHARJO ","1964-05-25 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:07:48 "
